ID,Latitude,Longitude,poids_dechets
436363519,14.7470631,-17.4448012,5.4
564627429,14.7028868,-17.4558481,5.4
564631564,14.7057094,-17.4515995,5.4
565574449,14.7167728,-17.4374515,5.4
569663689,14.7244485,-17.4510871,5.4
593787165,14.7103504,-17.4642443,5.4
593790884,14.7043033,-17.4693727,5.4
823731767,14.7139251,-17.4616546,5.4
1182615397,14.7504053,-17.4612708,5.4
1182995391,14.7143311,-17.454,5.4
1500279009,14.7486668,-17.4434406,5.4
1500285956,14.7440289,-17.44402,5.4
1596282879,14.7507277,-17.4681091,5.4
1596282884,14.746595,-17.4671778,5.4
1596282886,14.7518743,-17.4662983,5.4
1644374504,14.7359076,-17.4521426,5.4
1669543692,14.7445773,-17.4556088,5.4
1761301055,14.7154074,-17.4582733,5.4
1766472721,14.730413,-17.4701189,5.4
1766488843,14.7282782,-17.469336,5.4
1766488844,14.7285679,-17.469168,5.4
1769300539,14.7035876,-17.4714693,5.4
1788615778,14.7035749,-17.4701327,5.4
1788615838,14.707233,-17.4712003,5.4
1800646751,14.7142872,-17.46555,5.4
1800646846,14.7283046,-17.4567803,5.4
1800646861,14.7344842,-17.4563183,5.4
1800646875,14.7413521,-17.4426423,5.4
1868741383,14.7163954,-17.4668451,5.4
1930397946,14.6986752,-17.4470832,5.4
2039879026,14.6975186,-17.4591003,5.4
2049402057,14.7370554,-17.465022,5.4
2051411873,14.7064608,-17.4574067,5.4
2051411910,14.7089995,-17.4580207,5.4
2051504055,14.708703,-17.4584885,5.4
2051524922,14.7078622,-17.4592357,5.4
2051524924,14.7083791,-17.4587781,5.4
2068527976,14.7098766,-17.4541723,5.4
2068527988,14.7120362,-17.454554,5.4
2068553099,14.7282044,-17.452579,5.4
2072962767,14.7076736,-17.4555623,5.4
2076272667,14.7049358,-17.459745,5.4
2086696026,14.7123732,-17.4642384,5.4
2086696033,14.7128627,-17.464298,5.4
2115182797,14.7524994,-17.4595827,5.4
2115182800,14.7516658,-17.4599263,5.4
2125580490,14.7106314,-17.4566259,5.4
2125580491,14.7109856,-17.4564863,5.4
2125580492,14.7111239,-17.4563078,5.4
2125580496,14.7108018,-17.4565584,5.4
2125580499,14.7108173,-17.4564417,5.4
2126388505,14.7062539,-17.4542839,5.4
2129225138,14.7197716,-17.4705476,5.4
2129225154,14.7164635,-17.4701179,5.4
2136289683,14.7023739,-17.4524544,5.4
2138804620,14.7042488,-17.4577238,5.4
2138804621,14.7018343,-17.4553768,5.4
2138804622,14.7039222,-17.4538222,5.4
2138807302,14.7045359,-17.4579587,5.4
2138807303,14.7046894,-17.4578284,5.4
2138808234,14.7051018,-17.4621694,5.4
2138808235,14.7067772,-17.4603422,5.4
2138868492,14.6999497,-17.4688692,5.4
2138868495,14.7022954,-17.4680126,5.4
2138868499,14.7072104,-17.4678379,5.4
2138868501,14.7081211,-17.4702565,5.4
2138885159,14.7176756,-17.4562892,5.4
2138885163,14.7308851,-17.4577891,5.4
2138885165,14.7315515,-17.4566087,5.4
2138885166,14.7142664,-17.4552762,5.4
2138885167,14.7255508,-17.4612547,5.4
2138889065,14.7143884,-17.4548675,5.4
2138889069,14.7176459,-17.4561324,5.4
2164098866,14.6996751,-17.4505276,5.4
2179686965,14.7408728,-17.4564357,5.4
2179686974,14.741523,-17.4563094,5.4
2187069234,14.7075925,-17.4594832,5.4
2188340365,14.7046683,-17.4555618,5.4
2188641471,14.7062832,-17.4589685,5.4
2189864054,14.7051957,-17.4487388,5.4
2201380797,14.7418863,-17.4567898,5.4
2201385971,14.7131948,-17.4545024,5.4
2249402014,14.7158586,-17.4662312,5.4
2265813209,14.7047509,-17.4576657,5.4
2265839320,14.7115616,-17.455937,5.4
2265852200,14.7119002,-17.4555181,5.4
2265854283,14.7091395,-17.4535408,5.4
2265855475,14.7087406,-17.453431,5.4
2265865984,14.7076919,-17.4530572,5.4
2265882587,14.7126429,-17.4548241,5.4
2265885659,14.7122014,-17.4545734,5.4
2265895003,14.7112521,-17.4542666,5.4
2355894019,14.7036104,-17.4629833,5.4
2399920473,14.7517129,-17.4365709,5.4
2435184475,14.738253,-17.448659,5.4
2435187319,14.7428391,-17.4439544,5.4
2439243486,14.7522263,-17.4668599,5.4
2442934615,14.74739,-17.465517,5.4
2444467993,14.7140648,-17.4710429,5.4
2444469244,14.7129954,-17.4711586,5.4
2444480471,14.7180205,-17.4668815,5.4
2444492989,14.7191255,-17.4621504,5.4
2444515875,14.7233644,-17.4716803,5.4
2444516200,14.7271933,-17.4714336,5.4
2444517958,14.7277926,-17.4716049,5.4
2444520115,14.7278437,-17.4716139,5.4
2444525761,14.6997748,-17.4697177,5.4
2444529894,14.7010347,-17.4712206,5.4
2445835954,14.746456,-17.4675112,5.4
2446017690,14.7507101,-17.4401565,5.4
2446026466,14.7510252,-17.4389116,5.4
2446038958,14.7514519,-17.4370881,5.4
2446043936,14.7516439,-17.436734,5.4
2446083068,14.752573,-17.4359712,5.4
2447052262,14.7035374,-17.4715275,5.4
2447100364,14.7125769,-17.4556357,5.4
2447104249,14.712961,-17.45542,5.4
2447104250,14.7142227,-17.4553096,5.4
2447109686,14.7212195,-17.4480785,5.4
2447109687,14.7207837,-17.4483789,5.4
2447114626,14.7230422,-17.457759,5.4
2447165988,14.7148081,-17.4657284,5.4
2447166864,14.7151038,-17.4657686,5.4
2447174858,14.7204297,-17.4619358,5.4
2447184796,14.7196556,-17.4646288,5.4
2447189212,14.7177663,-17.4676711,5.4
2448013981,14.705878,-17.4449543,5.4
2448014846,14.7060551,-17.4449465,5.4
2448025703,14.7189013,-17.449166,5.4
2448196132,14.7323085,-17.4564581,5.4
2448201743,14.7343603,-17.4560424,5.4
2448204485,14.7361165,-17.4554282,5.4
2448207281,14.7362721,-17.4553075,5.4
2448209582,14.7425391,-17.4500798,5.4
2448218104,14.7506922,-17.4393155,5.4
2448226544,14.7503862,-17.4402918,5.4
2448227342,14.7506404,-17.4403454,5.4
2448227960,14.7417545,-17.4457193,5.4
2448228279,14.7423569,-17.4455253,5.4
2448228995,14.7478289,-17.46837,5.4
2448229137,14.7421514,-17.4459178,5.4
2448234914,14.7493872,-17.4700098,5.4
2448236192,14.742257,-17.449701,5.4
2448237749,14.7422207,-17.4496205,5.4
2448242014,14.7384543,-17.4483921,5.4
2448244829,14.7386359,-17.4481078,5.4
2448249720,14.7428069,-17.4447765,5.4
2448254129,14.7446908,-17.4437881,5.4
2448271002,14.7324052,-17.4598458,5.4
2448272147,14.7325505,-17.460452,5.4
2452764716,14.6978845,-17.4576289,5.4
2452933828,14.6984256,-17.4377569,5.4
2452935039,14.6985812,-17.4378776,5.4
2452936971,14.6987058,-17.4380332,5.4
2452939044,14.6988173,-17.4381325,5.4
2452941262,14.6997332,-17.4392939,5.4
2452944299,14.7014559,-17.440635,5.4
2452950597,14.6974757,-17.4364758,5.4
2452953873,14.6973878,-17.4363676,5.4
2509228780,14.7108243,-17.4564841,5.4
2509230176,14.7124736,-17.4547466,5.4
2522379493,14.7505835,-17.4502942,5.4
2553975092,14.7146316,-17.4659123,5.4
2553975093,14.7135435,-17.465335,5.4
2555954643,14.7140348,-17.4655075,5.4
2555954739,14.7133003,-17.4613128,5.4
2557109455,14.7134305,-17.4584029,5.4
2557109516,14.7133048,-17.4582764,5.4
2557109546,14.7115605,-17.4575083,5.4
2568648144,14.7095251,-17.4623778,5.4
2568648212,14.7096332,-17.4625029,5.4
2568648324,14.7097001,-17.4625468,5.4
2568648587,14.7106328,-17.4626225,5.4
2573623474,14.7178783,-17.4659794,5.4
2573623475,14.7179379,-17.465974,5.4
2583746767,14.7108167,-17.4629827,5.4
2612251625,14.7039661,-17.4705625,5.4
2612336055,14.7039576,-17.4702494,5.4
2630106118,14.6976803,-17.4433938,5.4
2630106159,14.6988879,-17.444165,5.4
2630106177,14.6979414,-17.4446063,5.4
2630560181,14.6975772,-17.4433498,5.4
2630560183,14.6994768,-17.4437442,5.4
2630560278,14.6986786,-17.4433432,5.4
2639685470,14.6977057,-17.4443348,5.4
2639685526,14.6996188,-17.4441197,5.4
2641966145,14.7076585,-17.4611046,5.4
2642072251,14.6979155,-17.4447275,5.4
2642072252,14.6979089,-17.4446532,5.4
2642072253,14.6979011,-17.4446916,5.4
2642072254,14.6995797,-17.4441475,5.4
2655851765,14.7205463,-17.4683399,5.4
2661190975,14.713596,-17.461446,5.4
2734453786,14.7247621,-17.4393052,5.4
2798353190,14.7048074,-17.4539353,5.4
2798354856,14.7040238,-17.4535026,5.4
2798363303,14.7083378,-17.4573249,5.4
2798364366,14.7036288,-17.4549142,5.4
2798364367,14.7043127,-17.4554798,5.4
2798368014,14.706548,-17.4560237,5.4
2798376933,14.7080024,-17.4551264,5.4
2798670113,14.7086635,-17.4551282,5.4
2798671790,14.7068328,-17.4540629,5.4
2833353761,14.7053646,-17.4572401,5.4
2833390251,14.7055002,-17.457294,5.4
2833405001,14.7043008,-17.4536397,5.4
2833429913,14.7094231,-17.4557431,5.4
2833438992,14.7091809,-17.4562169,5.4
2833439731,14.7086847,-17.4555765,5.4
2833445394,14.7086305,-17.4555317,5.4
2833508543,14.7069108,-17.4580774,5.4
2833510606,14.7071557,-17.4582289,5.4
2833555706,14.7058297,-17.4568074,5.4
2833864308,14.7020092,-17.4561138,5.4
2837099993,14.7171683,-17.4671251,5.4
2837100002,14.712607,-17.4683884,5.4
2837102452,14.7224209,-17.4654836,5.4
2837102460,14.7232705,-17.4649378,5.4
2838027169,14.7053313,-17.4539018,5.4
2841066650,14.7228425,-17.4651643,5.4
2842086007,14.703795,-17.4532007,5.4
2874568403,14.7112765,-17.4542426,5.4
2940618540,14.7280035,-17.4706608,5.4
2940618541,14.7269088,-17.4712562,5.4
2940634556,14.7272809,-17.4703965,5.4
2987470513,14.7048808,-17.4576831,5.4
3118291792,14.7466869,-17.4669977,5.4
3118291807,14.747657,-17.465037,5.4
3141651198,14.7027287,-17.4538528,5.4
3143599084,14.7043649,-17.4520428,5.4
3154510304,14.7052302,-17.4535713,5.4
3164256477,14.7157038,-17.4662116,5.4
3164258889,14.7123587,-17.464667,5.4
3164259817,14.7144872,-17.4658586,5.4
3195358339,14.7075828,-17.4594917,5.4
3215501325,14.7072057,-17.4597965,5.4
3217265596,14.7079606,-17.459132,5.4
3217265604,14.7074521,-17.4596045,5.4
3217265623,14.7077389,-17.4593547,5.4
3217273066,14.7086128,-17.4581755,5.4
3217273071,14.707303,-17.4593366,5.4
3217273072,14.7073432,-17.4593015,5.4
3222086261,14.7083198,-17.4573413,5.4
3232880165,14.7080635,-17.4555713,5.4
3242397581,14.7070473,-17.456321,5.4
3265504129,14.7015982,-17.45262,5.4
3274401565,14.701833,-17.4552198,5.4
3274401566,14.7015009,-17.4549505,5.4
3274401567,14.7016018,-17.45505,5.4
3274401568,14.7016629,-17.4550973,5.4
3274401569,14.7017532,-17.4551604,5.4
3289862839,14.730473,-17.4605906,5.4
3300170056,14.707351,-17.4559629,5.4
3300181463,14.7074268,-17.4557523,5.4
3300181464,14.7074441,-17.4557117,5.4
3300183556,14.7074912,-17.4555942,5.4
3300183557,14.7075125,-17.455533,5.4
3300183558,14.707531,-17.4554889,5.4
3300183559,14.7075514,-17.4554227,5.4
3300183560,14.7075785,-17.4553485,5.4
3300183961,14.7076047,-17.4553023,5.4
3300183963,14.70766,-17.4551368,5.4
3300193161,14.7075531,-17.4549811,5.4
3300193532,14.7072311,-17.4552011,5.4
3300200491,14.7070674,-17.4556972,5.4
3300215038,14.70679,-17.4560091,5.4
3300215045,14.7071096,-17.4553722,5.4
3300231622,14.7071518,-17.4552625,5.4
3300231624,14.7071954,-17.455098,5.4
3300231625,14.7072124,-17.4550388,5.4
3300231626,14.7072279,-17.4549956,5.4
3300255887,14.7070902,-17.4547891,5.4
3314108364,14.7048072,-17.4543779,5.4
3314171768,14.7048044,-17.4540424,5.4
3314190143,14.7047768,-17.4541816,5.4
3314190144,14.7047975,-17.4541155,5.4
3314224840,14.7043608,-17.4543869,5.4
3321202673,14.6983732,-17.4674238,5.4
3321205731,14.6990144,-17.4634745,5.4
3322970543,14.7114665,-17.4548714,5.4
3322987058,14.7112539,-17.4544782,5.4
3322988017,14.7111986,-17.4547163,5.4
3322988018,14.7110236,-17.4551735,5.4
3322988019,14.7111053,-17.4549485,5.4
3322988021,14.7111652,-17.4547937,5.4
3328237428,14.7012622,-17.4527651,5.4
3331855765,14.7057398,-17.4514939,5.4
3337642496,14.6984951,-17.4647856,5.4
3344478069,14.7058373,-17.4519181,5.4
3345465671,14.6993362,-17.448622,5.4
3345469431,14.6994852,-17.4498995,5.4
3346319774,14.7187348,-17.4495192,5.4
3352611737,14.6991549,-17.4640389,5.4
3355117047,14.7185457,-17.4481104,5.4
3355117049,14.7177277,-17.4488597,5.4
3376503282,14.7095734,-17.449127,5.4
3376503283,14.7120755,-17.449655,5.4
3376503286,14.7095594,-17.4494469,5.4
3376503289,14.709707,-17.4494451,5.4
3376509268,14.7109308,-17.4491811,5.4
3376530541,14.7100526,-17.4475368,5.4
3376530984,14.7147738,-17.4493514,5.4
3376537760,14.7100688,-17.4476156,5.4
3376538539,14.7100455,-17.4483705,5.4
3376539115,14.7100127,-17.4484075,5.4
3376548392,14.7102111,-17.4475631,5.4
3376554106,14.7100758,-17.4479421,5.4
3376566192,14.7101396,-17.4487416,5.4
3376566636,14.7101975,-17.4479363,5.4
3376566652,14.7103239,-17.4475809,5.4
3376569013,14.7101157,-17.4483988,5.4
3376569305,14.7102951,-17.4479286,5.4
3376569456,14.7102366,-17.4479805,5.4
3376578293,14.7100545,-17.4483779,5.4
3376579506,14.7103452,-17.4475977,5.4
3376579576,14.7102383,-17.4483737,5.4
3376588984,14.7102904,-17.4484097,5.4
3376589719,14.7101898,-17.4484079,5.4
3376591820,14.7111209,-17.447536,5.4
3376595694,14.7103652,-17.4484168,5.4
3376599141,14.7102736,-17.4483883,5.4
3376599299,14.7115248,-17.4474897,5.4
3376610974,14.711374,-17.4487799,5.4
3376612086,14.7131512,-17.4473856,5.4
3376618394,14.7112223,-17.4487742,5.4
3376624913,14.7104312,-17.4483989,5.4
3376641848,14.7116162,-17.447537,5.4
3376660142,14.7103385,-17.4483987,5.4
3376670755,14.7105888,-17.4483627,5.4
3376672239,14.7105146,-17.4483524,5.4
3376685604,14.7117789,-17.4475524,5.4
3376685802,14.7104189,-17.448379,5.4
3376685812,14.7124123,-17.4474527,5.4
3376687892,14.7137118,-17.4473919,5.4
3376688161,14.7118976,-17.4474866,5.4
3376688162,14.7107067,-17.4483636,5.4
3376690302,14.7105084,-17.4483667,5.4
3376695366,14.7141023,-17.4473438,5.4
3376695965,14.7108194,-17.4483696,5.4
3376696717,14.7123503,-17.4474545,5.4
3376696718,14.7097959,-17.4476639,5.4
3376705859,14.7124443,-17.4488088,5.4
3376711997,14.7097374,-17.4476354,5.4
3385222654,14.7120708,-17.448805,5.4
3385231334,14.7121541,-17.4487839,5.4
3388355173,14.7111138,-17.4483753,5.4
3388355174,14.7111298,-17.4484147,5.4
3388355175,14.7110365,-17.4483641,5.4
3388386601,14.7108165,-17.4484015,5.4
3388386602,14.7110272,-17.4483718,5.4
3388386603,14.7109401,-17.4483727,5.4
3388386604,14.71084,-17.4483934,5.4
3388386605,14.7109601,-17.4484231,5.4
3388386606,14.7109358,-17.4484177,5.4
3388386608,14.7107547,-17.4484087,5.4
3394424902,14.7045057,-17.4628923,5.4
3394424903,14.7020786,-17.4644556,5.4
3394424905,14.6984721,-17.4601675,5.4
3394424910,14.6978127,-17.4653146,5.4
3394424912,14.6997626,-17.4702525,5.4
3394424913,14.7011098,-17.4712903,5.4
3423570734,14.7474854,-17.4446387,5.4
3423570736,14.7498098,-17.4425367,5.4
3423572599,14.7505492,-17.4406554,5.4
3423673757,14.7075552,-17.4681172,5.4
3423686148,14.7048796,-17.4651738,5.4
3426893184,14.7219037,-17.4520121,5.4
3431410876,14.7046918,-17.4509727,5.4
3453865040,14.7359306,-17.4456699,5.4
3453916958,14.7171531,-17.4604346,5.4
3453916962,14.7159285,-17.4600837,5.4
3453917632,14.7175052,-17.4611657,5.4
3453917663,14.7169912,-17.45974,5.4
3454062520,14.7468137,-17.4675898,5.4
3454109869,14.7448363,-17.4695488,5.4
3463516803,14.7106469,-17.4698276,5.4
3463516804,14.7104002,-17.4699592,5.4
3467543625,14.7175999,-17.4557971,5.4
3482272582,14.7005344,-17.4705965,5.4
3525591217,14.7171384,-17.4635852,5.4
3525591222,14.7161623,-17.4629428,5.4
3525591224,14.7180845,-17.4658882,5.4
3525591226,14.7177167,-17.464835,5.4
